CCS PCM C Compiler, Version 5.007, 61971               21-Ara-22 12:20

               Filename:   C:\Users\Samet\OneDrive\Masaüstü\SERA_DOCS\TOPlaM\yeni1\main.lst

               ROM used:   4773 words (58%)
                           Largest free fragment is 2048
               RAM used:   77 (21%) at main() level
                           135 (37%) worst case
               Stack used: 1 locations (0 in main + 1 for interrupts)
               Stack size: 8
012C:  BSF    03.6
012D:  MOVWF  0F
012E:  BSF    03.5
012F:  BSF    0C.7
0130:  BSF    0C.0
0131:  NOP
0132:  NOP
0133:  BCF    03.6
0134:  DECFSZ 2D,F
0135:  GOTO   137
0136:  GOTO   139
0137:  BSF    03.6
0138:  GOTO   13B
0139:  GOTO   166
013A:  BSF    03.6
013B:  BCF    03.5
013C:  RLF    0C,W
013D:  RLF    0E,W
013E:  ANDLW  7F
013F:  BSF    03.5
0140:  BCF    03.6
0141:  MOVWF  2F
0142:  BCF    03.5
0143:  BSF    03.6
0144:  MOVF   0D,W
0145:  BSF    03.5
0146:  BCF    03.6
0147:  MOVWF  30
0148:  BCF    03.5
0149:  BSF    03.6
014A:  MOVF   0F,W
014B:  BSF    03.5
014C:  BCF    03.6
014D:  MOVWF  31
014E:  MOVF   2F,W
014F:  BCF    03.5
0150:  BTFSS  0C.4
0151:  GOTO   150
0152:  MOVWF  19
0153:  BSF    03.5
0154:  MOVF   30,W
0155:  BCF    03.5
0156:  BSF    03.6
0157:  MOVWF  0D
0158:  BSF    03.5
0159:  BCF    03.6
015A:  MOVF   31,W
015B:  BCF    03.5
015C:  BSF    03.6
015D:  MOVWF  0F
015E:  INCF   0D,F
015F:  BTFSC  03.2
0160:  INCF   0F,F
0161:  BCF    03.0
0162:  BSF    03.5
0163:  BCF    03.6
0164:  DECFSZ 2D,F
0165:  GOTO   105
0166:  BTFSS  2E.7
0167:  GOTO   16B
0168:  BCF    03.5
0169:  BSF    0B.7
016A:  BSF    03.5
016B:  BCF    03.5
016C:  RETURN
016D:  BSF    03.5
016E:  MOVF   34,W
016F:  CLRF   78
0170:  SUBWF  33,W
0171:  BTFSC  03.0
0172:  GOTO   176
0173:  MOVF   33,W
0174:  MOVWF  77
0175:  GOTO   182
0176:  CLRF   77
0177:  MOVLW  08
0178:  MOVWF  35
0179:  RLF    33,F
017A:  RLF    77,F
017B:  MOVF   34,W
017C:  SUBWF  77,W
017D:  BTFSC  03.0
017E:  MOVWF  77
017F:  RLF    78,F
0180:  DECFSZ 35,F
0181:  GOTO   179
0182:  BCF    03.5
0183:  RETURN
0184:  MOVLW  20
0185:  BSF    03.5
0186:  BTFSS  2E.4
0187:  MOVLW  30
0188:  MOVWF  2F
0189:  MOVF   2D,W
018A:  MOVWF  77
018B:  BTFSS  2D.7
018C:  GOTO   195
018D:  COMF   77,F
018E:  INCF   77,F
018F:  MOVF   77,W
0190:  MOVWF  2D
0191:  MOVLW  2D
0192:  MOVWF  2F
0193:  BSF    2E.7
0194:  BSF    2E.0
0195:  MOVF   2D,W
0196:  MOVWF  33
0197:  MOVLW  64
0198:  MOVWF  34
0199:  BCF    03.5
019A:  CALL   16D
019B:  MOVF   77,W
019C:  BSF    03.5
019D:  MOVWF  2D
019E:  MOVLW  30
019F:  ADDWF  78,W
01A0:  MOVWF  30
01A1:  MOVF   2D,W
01A2:  MOVWF  33
01A3:  MOVLW  0A
01A4:  MOVWF  34
01A5:  BCF    03.5
01A6:  CALL   16D
01A7:  MOVLW  30
01A8:  ADDWF  77,W
01A9:  BSF    03.5
01AA:  MOVWF  32
01AB:  MOVLW  30
01AC:  ADDWF  78,W
01AD:  MOVWF  31
01AE:  MOVF   2F,W
01AF:  MOVWF  77
01B0:  MOVLW  30
01B1:  SUBWF  30,W
01B2:  BTFSC  03.2
01B3:  GOTO   1B8
01B4:  BSF    2E.1
01B5:  BTFSC  2E.7
01B6:  BSF    2E.2
01B7:  GOTO   1CC
01B8:  MOVF   2F,W
01B9:  MOVWF  30
01BA:  MOVLW  20
01BB:  MOVWF  2F
01BC:  MOVLW  30
01BD:  SUBWF  31,W
01BE:  BTFSC  03.2
01BF:  GOTO   1C4
01C0:  BSF    2E.0
01C1:  BTFSC  2E.7
01C2:  BSF    2E.1
01C3:  GOTO   1CC
01C4:  BTFSS  03.2
01C5:  BSF    2E.0
01C6:  BTFSS  03.2
01C7:  GOTO   1CC
01C8:  MOVF   30,W
01C9:  MOVWF  31
01CA:  MOVLW  20
01CB:  MOVWF  30
01CC:  BTFSC  2E.2
01CD:  GOTO   1D3
01CE:  BTFSC  2E.1
01CF:  GOTO   1D9
01D0:  BTFSC  2E.0
01D1:  GOTO   1DF
01D2:  GOTO   1E5
01D3:  MOVF   2F,W
01D4:  BCF    03.5
01D5:  BTFSS  0C.4
01D6:  GOTO   1D5
01D7:  MOVWF  19
01D8:  BSF    03.5
01D9:  MOVF   30,W
01DA:  BCF    03.5
01DB:  BTFSS  0C.4
01DC:  GOTO   1DB
01DD:  MOVWF  19
01DE:  BSF    03.5
01DF:  MOVF   31,W
01E0:  BCF    03.5
01E1:  BTFSS  0C.4
01E2:  GOTO   1E1
01E3:  MOVWF  19
01E4:  BSF    03.5
01E5:  MOVF   32,W
01E6:  BCF    03.5
01E7:  BTFSS  0C.4
01E8:  GOTO   1E7
01E9:  MOVWF  19
01EA:  RETURN
01EB:  MOVF   0B,W
01EC:  BSF    03.5
01ED:  MOVWF  2D
01EE:  BCF    03.5
01EF:  BCF    0B.7
01F0:  BSF    03.5
01F1:  BSF    03.6
01F2:  BSF    0C.7
01F3:  BSF    0C.0
01F4:  NOP
01F5:  NOP
01F6:  BCF    03.5
01F7:  MOVF   0C,W
01F8:  ANDLW  7F
01F9:  BTFSC  03.2
01FA:  GOTO   24A
01FB:  BSF    03.5
01FC:  BCF    03.6
01FD:  MOVWF  2E
01FE:  BCF    03.5
01FF:  BSF    03.6
0200:  MOVF   0D,W
0201:  BSF    03.5
0202:  BCF    03.6
0203:  MOVWF  2F
0204:  BCF    03.5
0205:  BSF    03.6
0206:  MOVF   0F,W
0207:  BSF    03.5
0208:  BCF    03.6
0209:  MOVWF  30
020A:  MOVF   2E,W
020B:  BCF    03.5
020C:  BTFSS  0C.4
020D:  GOTO   20C
020E:  MOVWF  19
020F:  BSF    03.5
0210:  MOVF   2F,W
0211:  BCF    03.5
0212:  BSF    03.6
0213:  MOVWF  0D
0214:  BSF    03.5
0215:  BCF    03.6
0216:  MOVF   30,W
0217:  BCF    03.5
0218:  BSF    03.6
0219:  MOVWF  0F
021A:  BSF    03.5
021B:  BSF    0C.7
021C:  BSF    0C.0
021D:  NOP
021E:  NOP
021F:  BCF    03.5
0220:  RLF    0C,W
0221:  RLF    0E,W
0222:  ANDLW  7F
0223:  BTFSC  03.2
0224:  GOTO   24A
0225:  BSF    03.5
0226:  BCF    03.6
0227:  MOVWF  2E
0228:  BCF    03.5
0229:  BSF    03.6
022A:  MOVF   0D,W
022B:  BSF    03.5
022C:  BCF    03.6
022D:  MOVWF  2F
022E:  BCF    03.5
022F:  BSF    03.6
0230:  MOVF   0F,W
0231:  BSF    03.5
0232:  BCF    03.6
0233:  MOVWF  30
0234:  MOVF   2E,W
0235:  BCF    03.5
0236:  BTFSS  0C.4
0237:  GOTO   236
0238:  MOVWF  19
0239:  BSF    03.5
023A:  MOVF   2F,W
023B:  BCF    03.5
023C:  BSF    03.6
023D:  MOVWF  0D
023E:  BSF    03.5
023F:  BCF    03.6
0240:  MOVF   30,W
0241:  BCF    03.5
0242:  BSF    03.6
0243:  MOVWF  0F
0244:  INCF   0D,F
0245:  BTFSC  03.2
0246:  INCF   0F,F
0247:  BCF    03.6
0248:  GOTO   1F0
0249:  BSF    03.6
024A:  BSF    03.5
024B:  BCF    03.6
024C:  BTFSS  2D.7
024D:  GOTO   251
024E:  BCF    03.5
024F:  BSF    0B.7
0250:  BSF    03.5
0251:  BCF    03.5
0252:  RETURN
0253:  BSF    03.5
0254:  MOVF   3A,W
0255:  BTFSC  03.2
0256:  GOTO   2C4
0257:  MOVWF  42
0258:  MOVF   3E,W
0259:  BTFSC  03.2
025A:  GOTO   2C4
025B:  ADDWF  42,F
025C:  BTFSC  03.0
025D:  GOTO   265
025E:  MOVLW  7F
025F:  SUBWF  42,F
0260:  BTFSS  03.0
0261:  GOTO   2C4
0262:  BTFSC  03.2
0263:  GOTO   2C4
0264:  GOTO   269
0265:  MOVLW  81
0266:  ADDWF  42,F
0267:  BTFSC  03.0
0268:  GOTO   2C4
0269:  MOVF   42,W
026A:  MOVWF  77
026B:  CLRF   78
026C:  CLRF   79
026D:  CLRF   7A
026E:  MOVF   3B,W
026F:  MOVWF  46
0270:  BSF    46.7
0271:  MOVF   3C,W
0272:  MOVWF  45
0273:  MOVF   3D,W
0274:  MOVWF  44
0275:  MOVLW  18
0276:  MOVWF  42
0277:  CLRF   43
0278:  BTFSS  44.0
0279:  GOTO   292
027A:  MOVF   41,W
027B:  ADDWF  7A,F
027C:  BTFSS  03.0
027D:  GOTO   284
027E:  INCF   79,F
027F:  BTFSS  03.2
0280:  GOTO   284
0281:  INCF   78,F
0282:  BTFSC  03.2
0283:  BSF    43.7
0284:  MOVF   40,W
0285:  ADDWF  79,F
0286:  BTFSS  03.0
0287:  GOTO   28B
0288:  INCF   78,F
0289:  BTFSC  03.2
028A:  BSF    43.7
028B:  MOVF   3F,W
028C:  MOVWF  3C
028D:  BSF    3C.7
028E:  MOVF   3C,W
028F:  ADDWF  78,F
0290:  BTFSC  03.0
0291:  BSF    43.7
0292:  RLF    43,F
0293:  RRF    78,F
0294:  RRF    79,F
0295:  RRF    7A,F
0296:  RRF    46,F
0297:  RRF    45,F
0298:  RRF    44,F
0299:  BCF    03.0
029A:  DECFSZ 42,F
029B:  GOTO   277
029C:  MOVLW  01
029D:  ADDWF  77,F
029E:  BTFSC  03.0
029F:  GOTO   2C4
02A0:  BTFSC  78.7
02A1:  GOTO   2A9
02A2:  RLF    46,F
02A3:  RLF    7A,F
02A4:  RLF    79,F
02A5:  RLF    78,F
02A6:  DECF   77,F
02A7:  BTFSC  03.2
02A8:  GOTO   2C4
02A9:  BTFSS  46.7
02AA:  GOTO   2BA
02AB:  INCF   7A,F
02AC:  BTFSS  03.2
02AD:  GOTO   2BA
02AE:  INCF   79,F
02AF:  BTFSS  03.2
02B0:  GOTO   2BA
02B1:  INCF   78,F
02B2:  BTFSS  03.2
02B3:  GOTO   2BA
02B4:  RRF    78,F
02B5:  RRF    79,F
02B6:  RRF    7A,F
02B7:  INCF   77,F
02B8:  BTFSC  03.2
02B9:  GOTO   2C4
02BA:  MOVF   3B,W
02BB:  MOVWF  43
02BC:  MOVF   3F,W
02BD:  XORWF  43,F
02BE:  BTFSS  43.7
02BF:  GOTO   2C2
02C0:  BSF    78.7
02C1:  GOTO   2C8
02C2:  BCF    78.7
02C3:  GOTO   2C8
02C4:  CLRF   77
02C5:  CLRF   78
02C6:  CLRF   79
02C7:  CLRF   7A
02C8:  BCF    03.5
02C9:  RETURN
02CA:  BSF    03.5
02CB:  MOVF   3A,W
02CC:  SUBLW  B6
02CD:  MOVWF  3A
02CE:  CLRF   7A
02CF:  MOVF   3B,W
02D0:  MOVWF  3E
02D1:  BSF    3B.7
02D2:  BCF    03.0
02D3:  RRF    3B,F
02D4:  RRF    3C,F
02D5:  RRF    3D,F
02D6:  RRF    7A,F
02D7:  RRF    79,F
02D8:  RRF    78,F
02D9:  RRF    77,F
02DA:  DECFSZ 3A,F
02DB:  GOTO   2D2
02DC:  BTFSS  3E.7
02DD:  GOTO   2E9
02DE:  COMF   77,F
02DF:  COMF   78,F
02E0:  COMF   79,F
02E1:  COMF   7A,F
02E2:  INCF   77,F
02E3:  BTFSC  03.2
02E4:  INCF   78,F
02E5:  BTFSC  03.2
02E6:  INCF   79,F
02E7:  BTFSC  03.2
02E8:  INCF   7A,F
02E9:  BCF    03.5
02EA:  RETURN
02EB:  BTFSC  03.1
02EC:  GOTO   2F0
02ED:  MOVLW  C2
02EE:  MOVWF  04
02EF:  BCF    03.7
02F0:  CLRF   77
02F1:  CLRF   78
02F2:  CLRF   79
02F3:  CLRF   7A
02F4:  BSF    03.5
02F5:  CLRF   42
02F6:  CLRF   43
02F7:  CLRF   44
02F8:  CLRF   45
02F9:  MOVF   41,W
02FA:  IORWF  40,W
02FB:  IORWF  3F,W
02FC:  IORWF  3E,W
02FD:  BTFSC  03.2
02FE:  GOTO   32F
02FF:  MOVLW  20
0300:  MOVWF  46
0301:  BCF    03.0
0302:  RLF    3A,F
0303:  RLF    3B,F
0304:  RLF    3C,F
0305:  RLF    3D,F
0306:  RLF    42,F
0307:  RLF    43,F
0308:  RLF    44,F
0309:  RLF    45,F
030A:  MOVF   41,W
030B:  SUBWF  45,W
030C:  BTFSS  03.2
030D:  GOTO   318
030E:  MOVF   40,W
030F:  SUBWF  44,W
0310:  BTFSS  03.2
0311:  GOTO   318
0312:  MOVF   3F,W
0313:  SUBWF  43,W
0314:  BTFSS  03.2
0315:  GOTO   318
0316:  MOVF   3E,W
0317:  SUBWF  42,W
0318:  BTFSS  03.0
0319:  GOTO   329
031A:  MOVF   3E,W
031B:  SUBWF  42,F
031C:  MOVF   3F,W
031D:  BTFSS  03.0
031E:  INCFSZ 3F,W
031F:  SUBWF  43,F
0320:  MOVF   40,W
0321:  BTFSS  03.0
0322:  INCFSZ 40,W
0323:  SUBWF  44,F
0324:  MOVF   41,W
0325:  BTFSS  03.0
0326:  INCFSZ 41,W
0327:  SUBWF  45,F
0328:  BSF    03.0
0329:  RLF    77,F
032A:  RLF    78,F
032B:  RLF    79,F
032C:  RLF    7A,F
032D:  DECFSZ 46,F
032E:  GOTO   301
032F:  MOVF   42,W
0330:  MOVWF  00
0331:  INCF   04,F
0332:  MOVF   43,W
0333:  MOVWF  00
0334:  INCF   04,F
0335:  MOVF   44,W
0336:  MOVWF  00
0337:  INCF   04,F
0338:  MOVF   45,W
0339:  MOVWF  00
033A:  BCF    03.5
033B:  RETURN
033C:  MOVF   04,W
033D:  BSF    03.5
033E:  MOVWF  32
033F:  MOVF   31,W
0340:  MOVWF  34
0341:  BTFSC  03.2
0342:  GOTO   35E
0343:  MOVF   30,W
0344:  MOVWF  3D
0345:  MOVF   2F,W
0346:  MOVWF  3C
0347:  MOVF   2E,W
0348:  MOVWF  3B
0349:  MOVF   2D,W
034A:  MOVWF  3A
034B:  CLRF   41
034C:  CLRF   40
034D:  MOVLW  20
034E:  MOVWF  3F
034F:  MOVLW  82
0350:  MOVWF  3E
0351:  BCF    03.5
0352:  CALL   253
0353:  MOVF   7A,W
0354:  BSF    03.5
0355:  MOVWF  30
0356:  MOVF   79,W
0357:  MOVWF  2F
0358:  MOVF   78,W
0359:  MOVWF  2E
035A:  MOVF   77,W
035B:  MOVWF  2D
035C:  DECFSZ 34,F
035D:  GOTO   343
035E:  MOVF   30,W
035F:  MOVWF  3D
0360:  MOVF   2F,W
0361:  MOVWF  3C
0362:  MOVF   2E,W
0363:  MOVWF  3B
0364:  MOVF   2D,W
0365:  MOVWF  3A
0366:  BCF    03.5
0367:  CALL   2CA
0368:  MOVF   7A,W
0369:  BSF    03.5
036A:  MOVWF  30
036B:  MOVF   79,W
036C:  MOVWF  2F
036D:  MOVF   78,W
036E:  MOVWF  2E
036F:  MOVF   77,W
0370:  MOVWF  2D
0371:  BTFSS  30.7
0372:  GOTO   380
0373:  DECF   32,F
0374:  BSF    32.5
0375:  COMF   2D,F
0376:  COMF   2E,F
0377:  COMF   2F,F
0378:  COMF   30,F
0379:  INCF   2D,F
037A:  BTFSC  03.2
037B:  INCF   2E,F
037C:  BTFSC  03.2
037D:  INCF   2F,F
037E:  BTFSC  03.2
037F:  INCF   30,F
0380:  MOVLW  3B
0381:  MOVWF  39
0382:  MOVLW  9A
0383:  MOVWF  38
0384:  MOVLW  CA
0385:  MOVWF  37
0386:  CLRF   36
0387:  MOVLW  0A
0388:  MOVWF  34
0389:  MOVF   31,W
038A:  BTFSC  03.2
038B:  INCF   32,F
038C:  BSF    03.1
038D:  MOVLW  AD
038E:  MOVWF  04
038F:  BCF    03.7
0390:  MOVF   30,W
0391:  MOVWF  3D
0392:  MOVF   2F,W
0393:  MOVWF  3C
0394:  MOVF   2E,W
0395:  MOVWF  3B
0396:  MOVF   2D,W
0397:  MOVWF  3A
0398:  MOVF   39,W
0399:  MOVWF  41
039A:  MOVF   38,W
039B:  MOVWF  40
039C:  MOVF   37,W
039D:  MOVWF  3F
039E:  MOVF   36,W
039F:  MOVWF  3E
03A0:  BCF    03.5
03A1:  CALL   2EB
03A2:  MOVF   78,W
03A3:  MOVF   77,F
03A4:  BTFSS  03.2
03A5:  GOTO   3BD
03A6:  BSF    03.5
03A7:  INCF   31,W
03A8:  SUBWF  34,W
03A9:  BTFSS  03.2
03AA:  GOTO   3AD
03AB:  BCF    03.5
03AC:  GOTO   3BD
03AD:  MOVF   32,W
03AE:  BTFSC  03.2
03AF:  GOTO   3C0
03B0:  ANDLW  0F
03B1:  SUBWF  34,W
03B2:  BTFSC  03.2
03B3:  GOTO   3B6
03B4:  BTFSC  03.0
03B5:  GOTO   3FC
03B6:  BTFSC  32.7
03B7:  GOTO   3FC
03B8:  BTFSC  32.6
03B9:  GOTO   3C0
03BA:  MOVLW  20
03BB:  GOTO   3F5
03BC:  BCF    03.5
03BD:  MOVLW  20
03BE:  BSF    03.5
03BF:  ANDWF  32,F
03C0:  BTFSS  32.5
03C1:  GOTO   3D1
03C2:  BCF    32.5
03C3:  MOVF   31,W
03C4:  BTFSS  03.2
03C5:  DECF   32,F
03C6:  MOVF   77,W
03C7:  MOVWF  32
03C8:  MOVLW  2D
03C9:  BCF    03.5
03CA:  BTFSS  0C.4
03CB:  GOTO   3CA
03CC:  MOVWF  19
03CD:  BSF    03.5
03CE:  MOVF   32,W
03CF:  MOVWF  77
03D0:  CLRF   32
03D1:  MOVF   31,W
03D2:  SUBWF  34,W
03D3:  BTFSS  03.2
03D4:  GOTO   3E2
03D5:  MOVF   77,W
03D6:  MOVWF  32
03D7:  MOVLW  2E
03D8:  BCF    03.5
03D9:  BTFSS  0C.4
03DA:  GOTO   3D9
03DB:  MOVWF  19
03DC:  BSF    03.5
03DD:  MOVF   32,W
03DE:  MOVWF  77
03DF:  MOVLW  20
03E0:  ANDWF  32,F
03E1:  MOVLW  00
03E2:  MOVLW  30
03E3:  BTFSS  32.5
03E4:  GOTO   3F5
03E5:  BCF    32.5
03E6:  MOVF   31,W
03E7:  BTFSS  03.2
03E8:  DECF   32,F
03E9:  MOVF   77,W
03EA:  MOVWF  32
03EB:  MOVLW  2D
03EC:  BCF    03.5
03ED:  BTFSS  0C.4
03EE:  GOTO   3ED
03EF:  MOVWF  19
03F0:  BSF    03.5
03F1:  MOVF   32,W
03F2:  MOVWF  77
03F3:  CLRF   32
03F4:  MOVLW  30
03F5:  ADDWF  77,F
03F6:  MOVF   77,W
03F7:  BCF    03.5
03F8:  BTFSS  0C.4
03F9:  GOTO   3F8
03FA:  MOVWF  19
03FB:  BSF    03.5
03FC:  BCF    03.1
03FD:  MOVF   39,W
03FE:  MOVWF  3D
03FF:  MOVF   38,W
0400:  MOVWF  3C
0401:  MOVF   37,W
0402:  MOVWF  3B
0403:  MOVF   36,W
0404:  MOVWF  3A
0405:  CLRF   41
0406:  CLRF   40
0407:  CLRF   3F
0408:  MOVLW  0A
0409:  MOVWF  3E
040A:  BCF    03.5
040B:  CALL   2EB
040C:  MOVF   7A,W
040D:  BSF    03.5
040E:  MOVWF  39
040F:  MOVF   79,W
0410:  MOVWF  38
0411:  MOVF   78,W
0412:  MOVWF  37
0413:  MOVF   77,W
0414:  MOVWF  36
0415:  DECFSZ 34,F
0416:  GOTO   38C
0417:  BCF    03.5
0418:  BCF    0A.3
0419:  BCF    0A.4
041A:  GOTO   486 (RETURN)
*
04F3:  DATA D3,3A
04F4:  DATA A0,29
04F5:  DATA 65,3B
04F6:  DATA E9,3C
04F7:  DATA 65,1D
04F8:  DATA A0,12
04F9:  DATA E3,12
04FA:  DATA 64,05
04FB:  DATA 00,00
04FC:  DATA D4,37
04FD:  DATA 70,39
04FE:  DATA E1,35
04FF:  DATA A0,16
0500:  DATA AD,16
0501:  DATA AD,16
0502:  DATA AD,16
0503:  DATA 00,00
0504:  DATA CE,32
0505:  DATA 6D,10
0506:  DATA 20,10
0507:  DATA 20,10
0508:  DATA 20,1D
0509:  DATA A5,31
050A:  DATA 25,32
050B:  DATA 0A,00
050C:  DATA D3,34
050D:  DATA E3,30
050E:  DATA 6B,36
050F:  DATA E9,35
0510:  DATA BA,12
0511:  DATA E6,21
0512:  DATA 20,00
0513:  DATA AD,16
0514:  DATA AD,16
0515:  DATA AD,16
0516:  DATA AD,16
0517:  DATA AD,16
0518:  DATA AD,16
0519:  DATA AD,16
051A:  DATA AD,16
051B:  DATA 00,01
051C:  DATA C8,30
051D:  DATA F6,30
051E:  DATA A0,16
051F:  DATA AD,16
0520:  DATA AD,16
0521:  DATA AD,16
0522:  DATA AD,16
0523:  DATA 00,01
0524:  DATA CE,32
0525:  DATA 6D,10
0526:  DATA 20,10
0527:  DATA 20,10
0528:  DATA 20,1D
0529:  DATA A5,31
052A:  DATA 25,32
052B:  DATA 0A,00
052C:  DATA D3,34
052D:  DATA E3,30
052E:  DATA 6B,36
052F:  DATA E9,35
0530:  DATA BA,12
0531:  DATA E4,21
0532:  DATA 00,01
0533:  DATA AD,16
0534:  DATA AD,16
0535:  DATA AD,16
0536:  DATA AD,16
0537:  DATA AD,16
0538:  DATA AD,16
0539:  DATA AD,16
053A:  DATA AD,16
053B:  DATA 00,01
053C:  DATA C9,39
053D:  DATA E9,35
053E:  DATA A0,29
053F:  DATA 69,32
0540:  DATA E4,32
0541:  DATA F4,34
0542:  DATA 3A,10
0543:  DATA 25,32
0544:  DATA 00,01
0545:  DATA AD,16
0546:  DATA AD,16
0547:  DATA AD,16
0548:  DATA AD,16
0549:  DATA AD,16
054A:  DATA AD,16
054B:  DATA AD,16
054C:  DATA 00,00
054D:  DATA 20,10
054E:  DATA 2A,15
054F:  DATA 20,10
0550:  DATA D3,22
0551:  DATA D2,20
0552:  DATA 20,10
0553:  DATA 2A,15
0554:  DATA 20,10
0555:  DATA 00,00
0556:  DATA 0A,10
0557:  DATA 20,10
0558:  DATA 4F,2A
0559:  DATA CF,26
055A:  DATA C1,29
055B:  DATA D9,27
055C:  DATA CE,2A
055D:  DATA 20,10
055E:  DATA 20,00
055F:  DATA C2,30
0560:  DATA 73,36
0561:  DATA E9,3C
0562:  DATA 6F,39
0563:  DATA 2E,17
0564:  DATA 2E,00
0565:  DATA C2,30
0566:  DATA 73,36
0567:  DATA E9,3C
0568:  DATA 6F,39
0569:  DATA B1,32
056A:  DATA 65,17
056B:  DATA 2E,17
056C:  DATA 00,01
056D:  DATA C2,30
056E:  DATA 73,36
056F:  DATA E9,3C
0570:  DATA 6F,39
0571:  DATA B2,39
0572:  DATA 74,17
0573:  DATA 2E,17
0574:  DATA 00,01
0575:  DATA 64,34
0576:  DATA F4,18
0577:  DATA 72,17
0578:  DATA 2E,17
0579:  DATA 00,01
057A:  DATA D4,34
057B:  DATA ED,32
057C:  DATA A0,37
057D:  DATA 75,3A
057E:  DATA 21,00
057F:  DATA 64,34
0580:  DATA 74,19
0581:  DATA 2E,17
0582:  DATA 2E,00
0583:  DATA 43,34
0584:  DATA E5,31
0585:  DATA EB,39
0586:  DATA F5,36
0587:  DATA A0,22
0588:  DATA 72,39
0589:  DATA 6F,39
058A:  DATA 21,00
058B:  DATA CE,37
058C:  DATA 20,39
058D:  DATA E5,39
058E:  DATA F0,37
058F:  DATA EE,39
0590:  DATA 65,00
0591:  DATA 66,39
0592:  DATA EF,36
0593:  DATA 20,3A
0594:  DATA E8,32
0595:  DATA 20,22
0596:  DATA 48,2A
0597:  DATA B1,18
0598:  DATA 00,01
0599:  DATA D3,2A
059A:  DATA 20,22
059B:  DATA 45,28
059C:  DATA CF,29
059D:  DATA 55,10
059E:  DATA D3,22
059F:  DATA D6,24
05A0:  DATA D9,22
05A1:  DATA 00,01
05A2:  DATA 25,00
05A3:  DATA D4,27
05A4:  DATA 50,29
05A5:  DATA C1,25
05A6:  DATA 20,27
05A7:  DATA C5,26
05A8:  DATA 3A,00
05A9:  DATA A0,12
05AA:  DATA 00,01
05AB:  DATA D3,24
05AC:  DATA C3,20
05AD:  DATA 4B,26
05AE:  DATA C9,25
05AF:  DATA BA,12
05B0:  DATA E6,12
05B1:  DATA E3,21
05B2:  DATA 00,00
05B3:  DATA A0,22
